ID_partida,Tipo_IA,Puntuacion_Final,Resultado,Cartas,Plantado
81,IA_dificil,18,Derrota,7,True
82,IA_facil,18,Empate,7,False
82,IA_medio,17,Derrota,5,True
82,IA_dificil,18,Empate,5,True
83,IA_facil,19,Victoria,4,True
83,IA_medio,18,Derrota,4,True
83,IA_dificil,17,Derrota,7,True
84,IA_facil,18,Derrota,6,True
84,IA_medio,17,Derrota,4,True
84,IA_dificil,20,Victoria,7,False
85,IA_facil,19,Empate,6,True
85,IA_medio,17,Derrota,4,True
85,IA_dificil,19,Empate,7,False
86,IA_facil,18,Derrota,4,True
86,IA_medio,18,Derrota,5,True
86,IA_dificil,20,Victoria,6,False
87,IA_facil,19,Victoria,6,True
87,IA_medio,17,Derrota,6,True
87,IA_dificil,17,Derrota,4,True
88,IA_facil,21,Victoria,7,False
88,IA_medio,14,Derrota,6,False
88,IA_dificil,18,Derrota,5,True
89,IA_facil,19,Victoria,7,False
89,IA_medio,17,Derrota,4,True
89,IA_dificil,18,Derrota,6,True
90,IA_facil,17,Derrota,5,True
90,IA_medio,18,Victoria,6,False
90,IA_dificil,17,Derrota,4,True
91,IA_facil,22,Derrota,7,True
91,IA_medio,19,Victoria,6,True
91,IA_dificil,18,Derrota,4,True
92,IA_facil,19,Derrota,5,True
92,IA_medio,18,Derrota,5,True
92,IA_dificil,20,Victoria,4,True
93,IA_facil,17,Derrota,3,True
93,IA_medio,18,Victoria,5,True
93,IA_dificil,17,Derrota,5,True
94,IA_facil,20,Empate,4,True
94,IA_medio,19,Derrota,7,True
94,IA_dificil,20,Empate,5,True
95,IA_facil,18,Victoria,6,True
95,IA_medio,17,Derrota,6,True
95,IA_dificil,17,Derrota,4,True
96,IA_facil,17,Derrota,6,True
96,IA_medio,20,Victoria,5,True
96,IA_dificil,18,Derrota,6,True
97,IA_facil,18,Derrota,4,True
97,IA_medio,21,Victoria,6,False
97,IA_dificil,12,Derrota,5,False
98,IA_facil,8,Derrota,4,False
98,IA_medio,16,Derrota,4,False
98,IA_dificil,21,Victoria,4,False
99,IA_facil,8,Derrota,4,False
99,IA_medio,9,Derrota,4,False
99,IA_dificil,21,Victoria,4,False
100,IA_facil,17,Derrota,7,True
